Created on,author,is_retweet,is_reply,tweet_id,tweet_body,language,likes,retweet_count,source,medias,user_mentioned,urls,hashtags,symbols
Thu Sep 15 19:28:33 +0000 2022,BisphamGreen,False,False,1570494798968287232,"In 2056 when the DJIA finally retakes 36000, we'll pull out those monthly charts and nod sagely about how obvious was the crash of 2022. And then someone will say that stocks always go up if you hold them long enough",en,9,,Twitter for Android,,,,,
Thu Sep 15 16:28:43 +0000 2022,Anupam Kaulshi,False,False,1570449543619293185,"#Nifty ratio with Dow #DJIA at all time high, lets see how this ratio closes tomorrow for the week
#nifty50 https://t.co/EOxhQgSCZq",en,3,1,Twitter Web App, https://twitter.com/alittleabtmkt/status/1570449543619293185/photo/1;,,, Nifty; DJIA; nifty50;,
Wed Sep 14 06:42:29 +0000 2022,Mayur Shah | Polestar Capital,False,False,1569939626223349760,"Whn u do ur research well &amp; have strong conviction, u will still fail 2-3 times out of 10. But tht is more than enough to b profitable at the end of the year. Plus u don't really have 2 worry too much &amp; refresh SGX #nifty50 or DJIA chart evry 10 sec. till 2am #NSE #StockMarket",en,21,5,Twitter Web App,,,, nifty50; NSE; StockMarket;,
Thu Sep 15 15:58:16 +0000 2022,$,False,False,1570441879535374339,"$DJIA H4 $YM_F #DowJones 
This count is based on my latest video from the 5th of September. I hope u didn't miss the train. Once it starts to accelerate forget about any chart technique, indicator etc., it will be useless! I come back end of next week, I'll be on vocation... https://t.co/EWZtwtNizm",en,28,4,Twitter Web App, https://twitter.com/JoeChartingStar/status/1570441879535374339/photo/1;,,, DowJones;,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'YM_F', 'indices': [9, 14]}]"
Fri Sep 16 00:15:38 +0000 2022,"FiboSwanny, Chartered Financial Technician - CFTe",False,False,1570567045418463233,Fun with some Fib levels on the DJIA Monthly Chart - #DJI chart on @TradingView,en,,,Twitter for iPhone,, tradingview;,, DJI;,
Tue Sep 13 12:36:10 +0000 2022,Liz Ann Sonders,False,False,1569666246999678979,"Major issue beneath headline: food component of CPI #inflation rose by 11.4% y/y in August, up from +10.9% prior and fastest rate since April 1979 https://t.co/qfX8FBatbn",en,1602,692,Twitter for iPad, https://twitter.com/LizAnnSonders/status/1569666246999678979/photo/1;,,, inflation;,
Tue Sep 13 12:43:03 +0000 2022,David Asman,False,False,1569667979352104962,"Whoops! White House was expecting to celebrate lower inflation today. Instead, monthly rise came in hot. DJIA futures were up over 200.
They immediately tanked to negative 400. Look at food prices: up 11.4%. If it wasnt for lower gas prices, wed be in double digits now!",en,510,282,Twitter for iPhone,,,,,
Tue Sep 13 16:07:21 +0000 2022,#Nuclear Cup OCovfefe,False,True,1569719390265802758,"@JoeBiden Is this why the family net worth dropped $6.1 TRILLION in Q2, Joe?  Is this why inflation increased more than expected in August, Joe?  Is this why the DJIA is crashing right now, Joe?",en,86,6,Twitter for iPhone,, JoeBiden;,,,
Fri Sep 09 15:46:27 +0000 2022,RUDRA,False,False,1568264581822451712,"#SNP #NASDAQ #DowJones #DJIA 
LETS SEE FOR REVERSAL,, https://t.co/9l3plGPq5p",en,1,,Twitter Web App, https://twitter.com/RUDRA_ANSH_SHIV/status/1568264581822451712/photo/1;,,, SNP; NASDAQ; DowJones; DJIA;,
Wed Sep 14 06:09:46 +0000 2022,Gary Glover,False,False,1569931391370149888,I sent this chart out on Monday to my clients. Starting to look ominous after today. $DJIA https://t.co/mTwvIoXmao,en,17,2,Twitter Web App, https://twitter.com/GloverGary/status/1569931391370149888/photo/1;,,,,"[{'text': 'DJIA', 'indices': [85, 90]}]"
Thu Sep 15 05:16:08 +0000 2022,David Buik,False,False,1570280280895676417,"Whilst Europe took a small bath yesterday, Wall Street attempted to regroup on some horrendous losses incurred on Tuesday post downbeat inflation data. Oil $94; Asia adopts neutral stance. Opening calls reflective: FTSE +30 @ 7307 DAX +15 @ 13043 CAC +6 @ 6228 DJIA +11 @ 31146",en,27,4,Twitter Web App,,,,,
Tue Sep 13 20:05:34 +0000 2022,Reinier Martnez,False,False,1569779340757303296,"Brandon celebrating record-high inflation as a ""great day"" as he fumbles through an embarrassing speech while the Dow TANKS live on-screen is the defining image of the @JoeBiden Administration.

UNREAL.

$SPX $DJIA $QQQ
#Bidenflation #BidenDestroysAmerica https://t.co/P7wPcNeY79",en,260,138,Twitter for iPhone, https://twitter.com/reiniermf/status/1569779340757303296/video/1;, JoeBiden;,, Bidenflation; BidenDestroysAmerica;,"[{'text': 'SPX', 'indices': [204, 208]}, {'text': 'DJIA', 'indices': [209, 214]}, {'text': 'QQQ', 'indices': [215, 219]}]"
Fri Sep 16 01:34:54 +0000 2022,"Gabriel L, Pharm.D.,BCPS",False,False,1570586995306692608,$SPX $NDX $DJIA $RUT: $BLNK #BLNK has been on my watch list but haven't traded... will keep a closer eye on this one... #stocks #StockMarket #stockstowatch #StocksToBuy #StocksInFocus https://t.co/IgLFXkxPwP,en,,,Twitter Web App, https://twitter.com/Appearcomplex/status/1570586995306692608/photo/1;,,, BLNK; stocks; StockMarket; stockstowatch; StocksToBuy; StocksInFocus;,"[{'text': 'SPX', 'indices': [0, 4]}, {'text': 'NDX', 'indices': [5, 9]}, {'text': 'DJIA', 'indices': [10, 15]}, {'text': 'RUT', 'indices': [16, 20]}, {'text': 'BLNK', 'indices': [22, 27]}]"
Thu Sep 15 14:29:54 +0000 2022,$,False,False,1570419643155873792,"$DJIA M5 $CASH #DowJones 
Looks like a flat correction as W-2 which shouldn't exceed 31500. Whenever W-3 starts u will recognize it by the rate of speed. https://t.co/YvnT7JPOPr",en,19,1,Twitter Web App, https://twitter.com/JoeChartingStar/status/1570419643155873792/photo/1;,,, DowJones;,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'CASH', 'indices': [9, 14]}]"
Tue Sep 13 19:17:58 +0000 2022,Brian Chappatta,False,False,1569767363209207808,"Jeez.

S&amp;P 500: -3.87%
DJIA: -3.51%
NASDAQ: -4.66%

Those who thought they had US CPI pegged have to be humbled right now.",en,35,6,Twitter Web App,,,,,
Fri Sep 16 00:43:22 +0000 2022,New Low Observer,False,True,1570574026548064258,"@DiMartinoBooth @t1alpha Missing the critical comparison of $DJIA  pandemic to pandemic.

No real-time comp of S&amp;P at the time since it didn't exist.
https://t.co/jfBxPbutAu",en,3,,Twitter Web App,, DiMartinoBooth; t1alpha;, https://twitter.com/NewLowObserver/status/1563580275786797057;,,"[{'text': 'DJIA', 'indices': [60, 65]}]"
Tue Sep 13 22:46:17 +0000 2022,David Meyers,False,False,1569819786007441408,"Note that the S&amp;P500 and the DJIA are both down -- all the way back to where they were on September 6, a week ago.",en,3,,Twitter Web App,,,,,
Sat Aug 27 17:32:42 +0000 2022,New Low Observer,False,False,1563580275786797057,"$DJIA: Spanish Flu Pandemic vs. Covid-19 Pandemic

At 163 trading days from the respective peaks:

2022: +73.64% (August 26, 2022)
1920: +35.15% (June 28, 1920) https://t.co/L1eRPQMgbo",en,18,1,Twitter Web App, https://twitter.com/NewLowObserver/status/1563580275786797057/photo/1;,,,,"[{'text': 'DJIA', 'indices': [0, 5]}]"
Thu Sep 15 21:16:17 +0000 2022,TraderJoe,False,False,1570521911129690112,700 points from my prediction back in November coming true. $DJIA https://t.co/de0pn6Gig2,en,,,Twitter for Android, https://twitter.com/SWNGTraderJoe/status/1570521911129690112/photo/1;,,,,"[{'text': 'DJIA', 'indices': [60, 65]}]"
